constructorId,constructor_name,races,entries,top3_finishes,top3_rate
6,Ferrari,1066,2371,813,0.34289329396878954
1,McLaren,895,1855,480,0.2587601078167116
3,Williams,809,1609,314,0.19515226848974518
131,Mercedes,283,584,286,0.4897260273972603
9,Red Bull,360,720,253,0.35138888888888886
32,Team Lotus,395,871,114,0.13088404133180254
4,Renault,403,787,103,0.13087674714104194
22,Benetton,260,520,102,0.19615384615384615
34,Brabham,308,662,78,0.11782477341389729
25,Tyrrell,433,881,77,0.08740068104426787
66,BRM,208,562,61,0.10854092526690391
27,Ligier,330,611,50,0.08183306055646482
170,Cooper-Climax,67,268,44,0.16417910447761194
105,Maserati,73,436,40,0.09174311926605505
172,Lotus-Climax,56,233,31,0.13304721030042918
51,Alfa Romeo,206,431,28,0.06496519721577726
191,Brabham-Repco,33,77,25,0.3246753246753247
180,Lotus-Ford,44,128,25,0.1953125
208,Lotus F1,77,154,25,0.16233766233766234
113,Kurtis Kraft,12,226,19,0.084070796460177
17,Jordan,250,500,19,0.038
2,BMW Sauber,70,140,17,0.12142857142857143
187,McLaren-Ford,39,87,16,0.1839080459770115
37,March,196,524,16,0.030534351145038167
23,Brawn,17,34,15,0.4411764705882353
196,Matra-Ford,23,40,15,0.375
16,BAR,118,236,15,0.0635593220338983
118,Vanwall,29,71,14,0.19718309859154928
59,Wolf,64,79,13,0.16455696202531644
7,Toyota,140,280,13,0.04642857142857143
183,Brabham-Climax,35,93,11,0.11827956989247312
15,Sauber,395,789,10,0.012674271229404309
182,Brabham-Ford,23,58,9,0.15517241379310345
11,Honda,88,152,9,0.05921052631578947
21,Arrows,296,590,8,0.013559322033898305
64,Hesketh,60,97,7,0.07216494845360824
117,Aston Martin,62,123,7,0.056910569105691054
167,Cooper-Maserati,46,134,7,0.05223880597014925
82,Matra,47,71,6,0.08450704225352113
87,Cooper,33,103,6,0.05825242718446602
58,Shadow,98,211,6,0.02843601895734597
10,Force India,212,424,6,0.014150943396226415
108,Epperly,5,17,5,0.29411764705882354
107,Watson,9,22,5,0.22727272727272727
200,March-Ford,11,43,5,0.11627906976744186
95,Porsche,34,84,5,0.05952380952380952
24,Stewart,49,98,5,0.05102040816326531
211,Racing Point,38,76,4,0.05263157894736842
114,Kuzma,10,39,3,0.07692307692307693
67,Penske,41,46,3,0.06521739130434782
214,Alpine F1 Team,56,112,3,0.026785714285714284
53,Toleman,70,131,3,0.022900763358778626
56,Fittipaldi,119,155,3,0.01935483870967742
20,Prost,83,165,3,0.01818181818181818
5,Toro Rosso,268,536,3,0.005597014925373134
150,Deidt,3,8,2,0.25
190,Eagle-Weslake,17,21,2,0.09523809523809523
195,Cooper-BRM,12,21,2,0.09523809523809523
154,Talbot-Lago,13,82,2,0.024390243902439025
128,Gordini,33,102,2,0.0196078431372549
176,Lotus-BRM,51,121,2,0.01652892561983471
35,Dallara,80,144,2,0.013888888888888888
213,AlphaTauri,73,146,2,0.0136986301369863
26,Lola,88,165,2,0.012121212121212121
19,Jaguar,85,170,2,0.011764705882352941
63,Surtees,119,260,2,0.007692307692307693
109,Phillips,7,7,1,0.14285714285714285
132,Lancia,4,11,1,0.09090909090909091
110,Lesovsky,9,15,1,0.06666666666666667
202,Shadow-Ford,14,26,1,0.038461538461538464
181,Brabham-BRM,24,41,1,0.024390243902439025
46,Onyx,26,52,1,0.019230769230769232
125,Connaught,18,54,1,0.018518518518518517
41,Leyton House,32,64,1,0.015625
29,Footwork,97,194,1,0.005154639175257732
33,Larrousse,114,216,1,0.004629629629629629
8,Super Aguri,39,78,0,0.0
12,Spyker,17,34,0,0.0
13,MF1,14,28,0,0.0
14,Spyker MF1,4,8,0,0.0
18,Minardi,345,672,0,0.0
28,Forti,27,54,0,0.0
30,Pacific,33,66,0,0.0
31,Simtek,21,40,0,0.0
36,Fondmetal,29,42,0,0.0
38,Andrea Moda,8,15,0,0.0
39,AGS,78,123,0,0.0
40,Lambo,16,32,0,0.0
42,Coloni,65,81,0,0.0
44,Euro Brun,46,76,0,0.0
45,Osella,171,252,0,0.0
47,Life,14,14,0,0.0
48,Rial,32,48,0,0.0
49,Zakspeed,74,133,0,0.0
50,RAM,44,71,0,0.0
52,Spirit,25,25,0,0.0
54,ATS,116,162,0,0.0
55,Theodore,51,64,0,0.0
57,Ensign,133,154,0,0.0
60,Merzario,31,32,0,0.0
61,Kauhsen,2,2,0,0.0
62,Rebaque,3,3,0,0.0
65,Martini,8,8,0,0.0
68,LEC,5,5,0,0.0
69,McGuire,1,1,0,0.0
70,Boro,8,8,0,0.0
71,Apollon,1,1,0,0.0
72,Kojima,2,3,0,0.0
73,Parnelli,16,16,0,0.0
74,Maki,8,8,0,0.0
75,Embassy Hill,11,19,0,0.0
76,Lyncar,2,2,0,0.0
77,Trojan,8,8,0,0.0
78,Amon,4,5,0,0.0
79,Token,4,4,0,0.0
80,Iso Marlboro,30,55,0,0.0
81,Tecno,10,11,0,0.0
83,Politoys,1,1,0,0.0
84,Connew,1,1,0,0.0
85,Bellasi,6,6,0,0.0
86,De Tomaso,14,14,0,0.0
89,LDS,3,4,0,0.0
90,Protos,1,2,0,0.0
91,Shannon,1,1,0,0.0
92,Scirocco,10,17,0,0.0
93,RE,1,1,0,0.0
94,BRP,13,19,0,0.0
96,Derrington,1,1,0,0.0
97,Gilby,7,7,0,0.0
98,Stebro,1,2,0,0.0
99,Emeryson,9,11,0,0.0
