nationality,driver_count
British,165
American,158
Italian,99
French,73
German,50
Brazilian,32
Argentine,24
Swiss,23
Belgian,23
South African,23
Japanese,20
Dutch,18
Australian,18
Spanish,15
Austrian,15
Canadian,14
Swedish,10
Finnish,9
New Zealander,9
Mexican,6
Danish,5
Irish,5
Russian,4
Monegasque,4
Portuguese,4
Rhodesian,4
Uruguayan,4
Colombian,3
East German,3
Venezuelan,3
Indian,2
Thai,2
Polish,1
Hungarian,1
Malaysian,1
Czech,1
Liechtensteiner,1
Chilean,1
Argentine-Italian,1
American-Italian,1
Indonesian,1
Chinese,1
